indice,num_patrones_cargar,rango_fecha,numero_puntos,tamano_ventana,divisiones,numero_ventanas_exploradas,total_aceptados_findCommon,numero_encontrados_total,porcentaje_aceptacion_findCommon,porcentaje_aceptacion_tendency,tiempo
92,15,ai 1 años y 5 meses,354,120,"[1, 2, 3]",226,191,14,84.5,7.3,35.6
88,15,ai 1 años y 5 meses,354,90,"[1, 2]",260,249,13,95.8,5.2,35.22
97,15,ai 1 años y 5 meses,354,160,"[1, 2, 3, 4]",170,137,13,80.6,9.5,30.17
101,15,ai 1 años y 5 meses,354,200,"[1, 2, 3, 4]",147,105,12,71.4,11.4,24.97
94,15,ai 1 años y 5 meses,354,140,"[1, 2, 3]",197,161,11,81.7,6.8,31.19
100,15,ai 1 años y 5 meses,354,200,"[1, 2, 3]",136,92,11,67.6,12.0,22.34
107,15,ai 1 años y 5 meses,354,260,"[1, 2, 3, 4]",118,73,10,61.9,13.7,20.27
98,15,ai 1 años y 5 meses,354,180,"[1, 2, 3]",139,102,9,73.4,8.8,22.23
99,15,ai 1 años y 5 meses,354,180,"[1, 2, 3, 4]",151,110,9,72.8,8.2,25.9
103,15,ai 1 años y 5 meses,354,220,"[1, 2, 3, 4]",122,81,8,66.4,9.9,20.32
110,15,ai 1 años y 5 meses,354,300,"[1, 2, 3]",92,50,8,54.3,16.0,15.46
111,15,ai 1 años y 5 meses,354,300,"[1, 2, 3, 4]",92,50,8,54.3,16.0,16.59
105,15,ai 1 años y 5 meses,354,240,"[1, 2, 3, 4]",114,77,7,67.5,9.1,19.78
102,15,ai 1 años y 5 meses,354,220,"[1, 2, 3]",113,73,6,64.6,8.2,17.82
108,15,ai 1 años y 5 meses,354,280,"[1, 2, 3]",92,51,6,55.4,11.8,15.51
106,15,ai 1 años y 5 meses,354,260,"[1, 2, 3]",113,67,5,59.3,7.5,18.6
109,15,ai 1 años y 5 meses,354,280,"[1, 2, 3, 4]",107,64,4,59.8,6.2,18.64
112,15,ai 1 años y 5 meses,354,340,"[1, 2, 3]",60,35,4,58.3,11.4,10.42
